t,y,theory_density,kde_density
2.8,0.38,0.009355648109357765,0.010666109553015423
2.8,0.385,0.009824238072732729,0.011501243607220062
2.8,0.39,0.010312879201090584,0.012360021127033514
2.8,0.395,0.010822288182470932,0.013232307562441753
2.8,0.4,0.011353201225793728,0.0141078747970796
2.8,0.405,0.011906374338992103,0.014976958708417108
2.8,0.41000000000000003,0.012482583599986352,0.01583081571221659
2.8,0.41500000000000004,0.013082625419845999,0.01666224059942918
2.8,0.42,0.013707316797472814,0.017466010126048294
2.8,0.425,0.014357495565110711,0.01823922201168748
2.8,0.43,0.015034020623982089,0.018981506704009117
2.8,0.435,0.0157377721693236,0.019695098672819506
2.8,0.44,0.016469651904077398,0.020384764150884128
2.8,0.445,0.017230583240483908,0.02105759215022791
2.8,0.45,0.018021511488795553,0.021722664366371096
2.8,0.455,0.01884340403232024,0.022390626564547524
2.8,0.46,0.019697250487988954,0.023073188831322596
2.8,0.465,0.02058406285161631,0.02378258458575142
2.8,0.47000000000000003,0.02150487562702208,0.02453101865932748
2.8,0.47500000000000003,0.022460745938156394,0.02533013344629472
2.8,0.48,0.023452753623357917,0.02619051955098767
2.8,0.485,0.02448200131086933,0.027121293944629875
2.8,0.49,0.02554961447471364,0.028129764701695793
2.8,0.495,0.02665674147002279,0.029221197062846326
2.8,0.5,0.0278045535469081,0.030398690856473565
2.8,0.505,0.028994244841941103,0.03166317409208818
2.8,0.51,0.030227032346310388,0.03301351169977221
2.8,0.515,0.03150415584971277,0.03444672192214431
2.8,0.52,0.03282687785902161,0.03595828596713322
2.8,0.525,0.03419648349078431,0.037542529664273336
2.8,0.53,0.035614280336576175,0.03919304975573325
2.8,0.535,0.03708159830025441,0.040903152996524784
2.8,0.54,0.038599789406139826,0.04266627436900102
2.8,0.545,0.0401702275771551,0.044476342206770256
2.8,0.55,0.04179430838195494,0.04632806328115297
2.8,0.555,0.04347344875008018,0.04821710980572092
2.8,0.56,0.04520908665416573,0.050140202113360136
2.8,0.5650000000000001,0.04700268075825599,0.052095094100638645
2.8,0.5700000000000001,0.0488557100312589,0.05408048159466038
2.8,0.5750000000000001,0.05076967332460763,0.05609586454435139
2.8,0.58,0.052746088913189555,0.05814140045695099
